"","altitude","cadence","distance","grade_smooth","heartrate","lat","lng","moving","time","velocity_smooth","watts","id","interval"
"1",1.6,53,0.002,0,87,-11.635526,166.952459,FALSE,0,0,116,10338038378,"0"
"2",1.6,60,0.0047,0,87,-11.635521,166.952426,TRUE,1,0,131,10338038378,"0"
"3",1.6,60,0.0078,0,87,-11.635511,166.952394,TRUE,2,10.368,137,10338038378,"0"
"4",1.6,60,0.0113,0,89,-11.635502,166.952362,TRUE,3,11.124,136,10338038378,"0"
"5",1.6,63,0.0152,0,91,-11.635491,166.952341,TRUE,4,11.8512,53,10338038378,"0"
"6",1.6,60,0.0192,0,93,-11.635482,166.952308,TRUE,5,12.3768,140,10338038378,"0"
"7",1.6,60,0.0233,0,92,-11.635472,166.952255,TRUE,6,13.428,132,10338038378,"0"
"8",1.6,42,0.0278,0,92,-11.635463,166.952233,TRUE,7,14.3784,145,10338038378,"0"
"9",1.6,42,0.0325,0,89,-11.635456,166.95218,TRUE,8,15.2568,158,10338038378,"0"
"10",1.6,38,0.0375,0,87,-11.63545,166.952137,TRUE,9,16.0632,150,10338038378,"0"
"11",1.6,38,0.0428,0,86,-11.635446,166.952094,TRUE,10,16.9632,150,10338038378,"0"
"12",1.6,58,0.0483,0,88,-11.63544,166.952051,TRUE,11,17.9568,151,10338038378,"0"
"13",1.6,58,0.0539,0,93,-11.635437,166.951987,TRUE,12,18.8424,150,10338038378,"0"
"14",1.6,62,0.0599,0,93,-11.635436,166.951944,TRUE,13,19.7208,147,10338038378,"0"
"15",1.6,62,0.0659,0,93,-11.635437,166.951879,TRUE,14,20.4408,147,10338038378,"0"
"16",1.6,62,0.0722,0,93,-11.635441,166.951815,TRUE,15,21.1608,146,10338038378,"0"
"17",1.6,68,0.0787,0,95,-11.635448,166.951751,TRUE,16,21.9312,148,10338038378,"0"
"18",1.6,68,0.0858,0,93,-11.635459,166.951697,TRUE,17,22.9248,149,10338038378,"0"
"19",1.6,72,0.0928,0,91,-11.63547,166.951632,TRUE,18,23.7312,149,10338038378,"0"
"20",1.6,72,0.1002,0,93,-11.635483,166.951568,TRUE,19,24.7176,149,10338038378,"0"
"21",1.6,75,0.1077,0,94,-11.635498,166.951493,TRUE,20,25.5456,149,10338038378,"0"
"22",1.6,75,0.1153,0,96,-11.635515,166.951439,TRUE,21,26.3376,148,10338038378,"0"
"23",1.6,76,0.1233,0,97,-11.635537,166.951364,TRUE,22,26.9928,147,10338038378,"0"
"24",1.6,76,0.1313,0,98,-11.635558,166.9513,TRUE,23,27.6624,149,10338038378,"0"
"25",1.6,76,0.1394,0,97,-11.635582,166.951225,TRUE,24,28.2384,146,10338038378,"0"
"26",1.6,76,0.1478,0,93,-11.63561,166.95116,TRUE,25,28.908,152,10338038378,"0"
"27",1.6,77,0.1561,0,93,-11.635636,166.951085,TRUE,26,29.3904,150,10338038378,"0"
"28",1.6,77,0.1645,0,93,-11.635665,166.95101,TRUE,27,29.6856,149,10338038378,"0"
"29",1.6,77,0.173,0,100,-11.635696,166.950946,TRUE,28,30.0384,152,10338038378,"0"
"30",1.6,77,0.1815,0,102,-11.635728,166.950871,TRUE,29,30.2544,151,10338038378,"0"
"31",1.6,77,0.1901,0,104,-11.635762,166.950796,TRUE,30,30.4704,150,10338038378,"0"
"32",1.6,77,0.1987,0,104,-11.635796,166.950731,TRUE,31,30.6144,148,10338038378,"0"
"33",1.6,77,0.2072,0,99,-11.635832,166.950656,TRUE,32,30.7656,147,10338038378,"0"
"34",1.6,77,0.2159,0,97,-11.635869,166.950592,TRUE,33,30.9384,147,10338038378,"0"
"35",1.6,77,0.2246,0,99,-11.635907,166.950517,TRUE,34,31.0392,145,10338038378,"0"
"36",1.6,76,0.2331,0,99,-11.635946,166.950463,TRUE,35,30.96,145,10338038378,"0"
"37",1.6,76,0.2418,0,99,-11.635986,166.950377,TRUE,36,31.0392,143,10338038378,"0"
"38",1.6,77,0.2505,-0.6,102,-11.636032,166.950324,TRUE,37,31.176,22,10338038378,"0"
"39",1.6,65,0.2592,-0.6,102,-11.636081,166.950259,TRUE,38,31.1184,36,10338038378,"0"
"40",1.4,65,0.2677,-0.6,101,-11.636131,166.950195,TRUE,39,31.032,135,10338038378,"0"
"41",1.4,48,0.2763,-0.6,101,-11.636182,166.950141,TRUE,40,31.0752,142,10338038378,"0"
"42",1.4,48,0.2849,0,95,-11.636235,166.950077,TRUE,41,31.032,144,10338038378,"0"
"43",1.4,39,0.2935,0,94,-11.63629,166.950034,TRUE,42,30.9528,148,10338038378,"0"
"44",1.4,39,0.3024,0,95,-11.636349,166.94997,TRUE,43,31.1112,148,10338038378,"0"
