time,heartrate,watts,temperature,interval
0,95,184,varm,0
1,101,183,varm,0
2,102,181,varm,0
3,103,182,varm,0
4,107,186,varm,0
5,110,195,varm,0
6,112,204,varm,0
7,114,204,varm,0
8,117,197,varm,0
9,118,191,varm,0
10,119,188,varm,0
11,119,188,varm,0
12,120,188,varm,0
13,120,190,varm,0
14,120,191,varm,0
15,120,190,varm,0
16,119,176,varm,0
17,120,176,varm,0
18,120,177,varm,0
19,119,177,varm,0
20,119,178,varm,0
21,121,177,varm,0
22,120,178,varm,0
23,120,179,varm,0
24,121,182,varm,0
25,121,184,varm,0
26,121,185,varm,0
27,121,181,varm,0
28,122,177,varm,0
29,122,164,varm,0
30,122,171,varm,0
31,123,173,varm,0
32,123,174,varm,0
33,125,170,varm,0
34,126,174,varm,0
35,126,164,varm,0
36,126,167,varm,0
37,124,171,varm,0
38,124,176,varm,0
39,123,171,varm,0
40,122,175,varm,0
41,122,173,varm,0
42,121,172,varm,0
43,122,172,varm,0
44,123,175,varm,0
45,123,174,varm,0
46,124,173,varm,0
47,125,170,varm,0
48,125,169,varm,0
49,127,168,varm,0
50,128,169,varm,0
51,128,170,varm,0
52,129,170,varm,0
53,127,167,varm,0
54,125,166,varm,0
55,125,167,varm,0
56,125,168,varm,0
57,125,167,varm,0
58,125,168,varm,0
59,125,172,varm,0
60,126,172,varm,0
61,126,168,varm,0
62,126,171,varm,0
63,127,173,varm,0
64,127,174,varm,0
65,126,173,varm,0
66,128,173,varm,0
67,127,171,varm,0
68,128,173,varm,0
69,127,171,varm,0
70,127,170,varm,0
71,127,171,varm,0
72,128,171,varm,0
73,129,171,varm,0
74,129,171,varm,0
75,129,172,varm,0
76,129,172,varm,0
77,128,174,varm,0
78,128,173,varm,0
79,127,170,varm,0
80,127,172,varm,0
81,127,169,varm,0
82,126,169,varm,0
83,125,168,varm,0
84,125,168,varm,0
85,125,167,varm,0
86,125,169,varm,0
87,126,169,varm,0
88,126,165,varm,0
89,127,167,varm,0
90,127,166,varm,0
91,126,168,varm,0
92,126,169,varm,0
93,126,167,varm,0
94,126,168,varm,0
95,125,165,varm,0
96,125,165,varm,0
97,125,164,varm,0
98,125,168,varm,0
99,125,163,varm,0
100,127,165,varm,0
101,126,165,varm,0
102,127,166,varm,0
103,125,169,varm,0
104,126,170,varm,0
105,123,171,varm,0
106,123,170,varm,0
107,123,169,varm,0
108,123,173,varm,0
109,124,173,varm,0
110,124,174,varm,0
111,125,171,varm,0
112,124,175,varm,0
113,124,172,varm,0
114,125,172,varm,0
115,124,171,varm,0
116,124,169,varm,0
117,124,167,varm,0
118,125,171,varm,0
119,126,177,varm,0
120,126,180,varm,0
121,127,178,varm,0
122,127,172,varm,0
123,127,175,varm,0
124,127,173,varm,0
125,128,170,varm,0
126,128,172,varm,0
127,127,168,varm,0
128,128,172,varm,0
129,128,172,varm,0
130,128,169,varm,0
131,130,167,varm,0
132,129,164,varm,0
133,128,165,varm,0
134,128,167,varm,0
135,128,167,varm,0
136,128,169,varm,0
137,128,169,varm,0
138,128,167,varm,0
139,127,167,varm,0
140,127,167,varm,0
141,127,164,varm,0
142,127,165,varm,0
143,127,170,varm,0
144,127,174,varm,0
145,127,173,varm,0
146,126,173,varm,0
147,126,172,varm,0
148,126,172,varm,0
149,126,172,varm,0
150,127,169,varm,0
151,128,168,varm,0
152,128,163,varm,0
153,128,160,varm,0
154,127,178,varm,0
155,127,172,varm,0
156,127,173,varm,0
157,127,168,varm,0
158,127,171,varm,0
159,126,170,varm,0
160,126,170,varm,0
161,127,171,varm,0
162,128,167,varm,0
163,128,165,varm,0
164,128,167,varm,0
165,129,168,varm,0
166,128,169,varm,0
167,127,167,varm,0
168,127,167,varm,0
169,126,167,varm,0
170,127,167,varm,0
171,127,167,varm,0
172,128,168,varm,0
173,128,171,varm,0
174,129,171,varm,0
175,129,176,varm,0
176,128,175,varm,0
177,128,176,varm,0
178,128,176,varm,0
179,129,174,varm,0
180,130,171,varm,0
181,130,169,varm,0
182,129,168,varm,0
183,130,168,varm,0
184,129,170,varm,0
185,129,171,varm,0
186,129,174,varm,0
187,130,173,varm,0
188,130,172,varm,0
189,130,173,varm,0
190,131,176,varm,0
191,132,177,varm,0
192,132,176,varm,0
193,133,177,varm,0
194,133,176,varm,0
195,134,174,varm,0
196,135,173,varm,0
197,134,165,varm,0
198,134,170,varm,0
199,132,185,varm,0
200,132,174,varm,0
201,132,176,varm,0
202,131,176,varm,0
203,131,175,varm,0
204,131,175,varm,0
205,131,180,varm,0
206,132,180,varm,0
207,132,179,varm,0
208,131,180,varm,0
209,130,181,varm,0
210,131,177,varm,0
211,131,182,varm,0
212,130,174,varm,0
213,129,167,varm,0
214,128,168,varm,0
215,128,165,varm,0
216,128,166,varm,0
217,129,170,varm,0
218,129,171,varm,0
219,130,169,varm,0
220,130,171,varm,0
221,130,176,varm,0
222,131,179,varm,0
223,132,178,varm,0
224,132,180,varm,0
225,133,179,varm,0
226,133,176,varm,0
227,133,177,varm,0
228,132,180,varm,0
229,132,176,varm,0
230,130,177,varm,0
231,131,168,varm,0
232,130,171,varm,0
233,131,171,varm,0
234,131,173,varm,0
235,131,171,varm,0
