altitude,cadence,distance,grade_smooth,heartrate,lat,lng,moving,time,velocity_smooth,watts,id,temperature
5.4,62,0.0023,-2.8,95,-11.639042,166.948615,FALSE,0,0,204,10253260652,kald
5.4,73,0.0055,-1.7,95,-11.639015,166.948626,TRUE,1,0,172,10253260652,kald
5.2,73,0.0095,-2.3,95,-11.638982,166.948641,TRUE,2,13.05,189,10253260652,kald
5.2,76,0.014199999999999999,-2,95,-11.638944,166.948659,TRUE,3,14.292000000000002,185,10253260652,kald
5,76,0.019399999999999997,-1.8,95,-11.638901,166.94868,TRUE,4,15.4152,183,10253260652,kald
5,81,0.0251,-2.5,96,-11.638855,166.948703,TRUE,5,16.4664,164,10253260652,kald
4.8,81,0.0313,-2.4,100,-11.638804,166.948726,TRUE,6,18.576,171,10253260652,kald
4.6,81,0.037899999999999996,-2.2,105,-11.63875,166.94875,TRUE,7,20.448,165,10253260652,kald
4.4,81,0.044899999999999995,-2.1,108,-11.638691,166.948774,TRUE,8,22.1328,163,10253260652,kald
4.4,81,0.0523,-2,109,-11.638628,166.948796,TRUE,9,23.6736,159,10253260652,kald
4.2,80,0.0599,-1.9,107,-11.638563,166.94882,TRUE,10,25.0632,159,10253260652,kald
4,80,0.0679,-2.5,107,-11.638496,166.948844,TRUE,11,26.3376,159,10253260652,kald
3.8,78,0.0762,-2.4,107,-11.638425,166.94887,TRUE,12,27.597600000000003,160,10253260652,kald
3.6,78,0.0846,-2.3,105,-11.638354,166.948896,TRUE,13,28.5624,149,10253260652,kald
3.4,76,0.0933,-2.3,105,-11.63828,166.948922,TRUE,14,29.5416,164,10253260652,kald
3.2,76,0.1023,-1.7,107,-11.638203,166.94895,TRUE,15,30.4704,160,10253260652,kald
3,77,0.1114,-1.6,105,-11.638126,166.948979,TRUE,16,31.3416,158,10253260652,kald
3,77,0.1207,-1.6,106,-11.638046,166.949006,TRUE,17,32.0328,152,10253260652,kald
2.8,77,0.13019999999999998,-1.6,107,-11.637965,166.949034,TRUE,18,32.8536,151,10253260652,kald
2.6,77,0.1399,-2.1,106,-11.637883,166.949065,TRUE,19,33.5304,153,10253260652,kald
2.4,75,0.1497,-2,105,-11.637801,166.949098,TRUE,20,34.128,154,10253260652,kald
2.2,75,0.1596,-1.5,106,-11.637718,166.949132,TRUE,21,34.6752,157,10253260652,kald
2,76,0.1696,-1.5,106,-11.637636,166.94917,TRUE,22,35.1792,158,10253260652,kald
2,76,0.1797,-1.5,106,-11.637552,166.949208,TRUE,23,35.625600000000006,150,10253260652,kald
1.8,76,0.1899,-1,109,-11.637469,166.949248,TRUE,24,36.007200000000005,153,10253260652,kald
1.6,76,0.2001,-1.5,109,-11.637387,166.949291,TRUE,25,36.324,153,10253260652,kald
