altitude,cadence,distance,grade_smooth,heartrate,lat,lng,moving,time,velocity_smooth,watts,id,temperature
4.6,56,0.002,-3.3,112,-11.638757,166.948768,FALSE,0,0,140,10269458355,varm
4.6,62,0.0047,-2,112,-11.638733,166.948768,TRUE,1,0,112,10269458355,varm
4.4,62,0.0081,-1.4,107,-11.638703,166.948779,TRUE,2,10.998000000000001,114,10269458355,varm
4.4,62,0.0119,-2.4,107,-11.638671,166.9488,TRUE,3,11.9412,131,10269458355,varm
4.4,65,0.016399999999999998,-2.2,105,-11.638632,166.9488,TRUE,4,12.9852,142,10269458355,varm
4.2,65,0.0213,-2,105,-11.63859,166.948811,TRUE,5,13.9176,144,10269458355,varm
4,65,0.026600000000000002,-2.7,102,-11.638545,166.948843,TRUE,6,15.7464,143,10269458355,varm
4,68,0.032299999999999995,-1.7,102,-11.638497,166.948854,TRUE,7,17.4528,143,10269458355,varm
3.8,68,0.0385,-1.6,104,-11.638444,166.948875,TRUE,8,19.1232,156,10269458355,varm
3.8,68,0.045,-2.2,104,-11.638389,166.948886,TRUE,9,20.570400000000003,146,10269458355,varm
3.6,68,0.0518,-2.1,104,-11.63833,166.948918,TRUE,10,21.988799999999998,149,10269458355,varm
3.4,70,0.0591,-2,104,-11.638269,166.948929,TRUE,11,23.3712,146,10269458355,varm
3.2,70,0.0665,-2,105,-11.638205,166.94895,TRUE,12,24.5808,146,10269458355,varm
3.2,73,0.07429999999999999,-1.9,105,-11.638138,166.948982,TRUE,13,25.761599999999998,146,10269458355,varm
3,73,0.0823,-1.8,107,-11.638071,166.949004,TRUE,14,26.8488,145,10269458355,varm
2.8,73,0.0905,-1.8,108,-11.638,166.949025,TRUE,15,27.8352,144,10269458355,varm
2.6,76,0.099,-1.7,107,-11.637928,166.949058,TRUE,16,28.764000000000003,145,10269458355,varm
2.6,76,0.1076,-1.7,106,-11.637857,166.94909,TRUE,17,29.6208,141,10269458355,varm
2.4,77,0.1166,-1.7,106,-11.63778,166.949111,TRUE,18,30.448800000000002,144,10269458355,varm
2.2,77,0.1257,-1.6,104,-11.637703,166.949143,TRUE,19,31.2768,147,10269458355,varm
2,76,0.1351,-1.6,105,-11.637623,166.949176,TRUE,20,32.1336,145,10269458355,varm
2,76,0.1444,-1.6,104,-11.637548,166.949208,TRUE,21,32.69520000000001,139,10269458355,varm
1.8,77,0.1539,-1,104,-11.637469,166.949251,TRUE,22,33.372,144,10269458355,varm
1.6,77,0.1636,-1.6,107,-11.637393,166.949283,TRUE,23,33.8688,143,10269458355,varm
1.6,79,0.1734,-1,108,-11.637316,166.949326,TRUE,24,34.336800000000004,146,10269458355,varm
1.4,79,0.183,-0.5,110,-11.637243,166.949379,TRUE,25,34.4664,145,10269458355,varm
1.4,80,0.1928,-0.5,111,-11.637169,166.949422,TRUE,26,34.8264,143,10269458355,varm
1.4,80,0.2026,-0.5,112,-11.637092,166.949487,TRUE,27,35.035199999999996,146,10269458355,varm
1.4,79,0.21230000000000002,-0.5,112,-11.63702,166.94953,TRUE,28,35.0568,146,10269458355,varm
1.2,79,0.22180000000000002,-0.5,114,-11.636948,166.949573,TRUE,29,34.8768,141,10269458355,varm
1.2,79,0.2314,-0.5,115,-11.636875,166.949615,TRUE,30,34.8696,145,10269458355,varm
1.2,79,0.241,0,115,-11.636805,166.949669,TRUE,31,34.7184,145,10269458355,varm
1.2,79,0.2505,0.5,116,-11.636736,166.949723,TRUE,32,34.473600000000005,146,10269458355,varm
1.2,79,0.25980000000000003,0.5,116,-11.636669,166.94977600000001,TRUE,33,34.2432,144,10269458355,varm
1.4,78,0.2693,0.5,117,-11.6366,166.94983,TRUE,34,34.1784,145,10269458355,varm
1.4,78,0.2786,0.5,117,-11.636536,166.949884,TRUE,35,33.948,146,10269458355,varm
1.4,78,0.2877,0,117,-11.636471,166.949937,TRUE,36,33.6096,145,10269458355,varm
1.4,78,0.2968,0,117,-11.63641,166.949991,TRUE,37,33.3576,147,10269458355,varm
1.4,78,0.30589999999999995,0,117,-11.636349,166.950045,TRUE,38,33.1416,145,10269458355,varm
1.4,79,0.31489999999999996,0,118,-11.63629,166.950088,TRUE,39,32.803200000000004,145,10269458355,varm
1.4,79,0.32380000000000003,0.6,120,-11.636234,166.950152,TRUE,40,32.558400000000006,144,10269458355,varm
1.4,82,0.3328,0.6,121,-11.636179,166.950216,TRUE,41,32.472,145,10269458355,varm
1.6,82,0.3417,0.6,120,-11.636128,166.950281,TRUE,42,32.284800000000004,144,10269458355,varm
1.6,82,0.3503,0.6,121,-11.636083,166.950356,TRUE,43,31.9896,145,10269458355,varm
1.6,82,0.35910000000000003,0,121,-11.636036,166.950409,TRUE,44,31.8456,144,10269458355,varm
1.6,79,0.3679,0,121,-11.635994,166.950474,TRUE,45,31.737600000000004,141,10269458355,varm
1.6,79,0.3765,0,122,-11.635955,166.950549,TRUE,46,31.464000000000002,145,10269458355,varm
1.6,80,0.3851,0,122,-11.635918,166.950613,TRUE,47,31.312800000000003,146,10269458355,varm
1.6,80,0.3939,0,124,-11.63588,166.950688,TRUE,48,31.413600000000002,145,10269458355,varm
1.6,79,0.4026,0,123,-11.635842,166.950763,TRUE,49,31.3416,145,10269458355,varm
1.6,79,0.4115,0,124,-11.635805,166.950828,TRUE,50,31.4064,145,10269458355,varm
1.6,80,0.42019999999999996,0,124,-11.63577,166.950903,TRUE,51,31.5,141,10269458355,varm
1.6,80,0.42910000000000004,0,123,-11.635737,166.950978,TRUE,52,31.665599999999998,144,10269458355,varm
1.6,81,0.43789999999999996,0,123,-11.635706,166.951053,TRUE,53,31.622400000000003,145,10269458355,varm
1.6,81,0.4467,0,124,-11.635675,166.951128,TRUE,54,31.7304,146,10269458355,varm
1.6,79,0.4555,0,123,-11.635647,166.951203,TRUE,55,31.716,146,10269458355,varm
1.6,79,0.4644,0,121,-11.63562,166.951278,TRUE,56,31.7808,146,10269458355,varm
1.6,78,0.4733,0,122,-11.635594,166.951364,TRUE,57,31.8024,146,10269458355,varm
1.6,78,0.482,0,122,-11.635572,166.951439,TRUE,58,31.773600000000002,145,10269458355,varm
1.6,80,0.491,0,122,-11.63555,166.951514,TRUE,59,31.8672,145,10269458355,varm
1.6,80,0.4998,0,122,-11.635533,166.95159,TRUE,60,31.824,141,10269458355,varm
1.6,80,0.5087,0,121,-11.635517,166.951665,TRUE,61,31.8816,145,10269458355,varm
1.6,80,0.5175,0,121,-11.635503,166.95174,TRUE,62,31.809600000000003,147,10269458355,varm
1.6,80,0.5262,0,120,-11.635495,166.951836,TRUE,63,31.831200000000003,149,10269458355,varm
1.6,80,0.535,0,119,-11.63549,166.951911,TRUE,64,31.680000000000003,151,10269458355,varm
1.6,78,0.5438,0,119,-11.635488,166.951987,TRUE,65,31.7304,139,10269458355,varm
1.6,78,0.5524,0,119,-11.635492,166.952062,TRUE,66,31.521600000000003,132,10269458355,varm
1.6,78,0.5612,0,119,-11.635502,166.952137,TRUE,67,31.464000000000002,106,10269458355,varm
1.6,78,0.5699,0,119,-11.635517,166.952233,TRUE,68,31.4784,161,10269458355,varm
1.6,78,0.5785,0,118,-11.635534,166.952308,TRUE,69,31.392000000000003,151,10269458355,varm
1.6,78,0.5871000000000001,0,119,-11.635557,166.952384,TRUE,70,31.161600000000004,147,10269458355,varm
