"","altitude","cadence","distance","grade_smooth","heartrate","lat","lng","moving","time","velocity_smooth","watts","id"
"1",88.4,61,0.0017,0,88,-11.664345,166.946536,FALSE,0,0,99,10328480057
"2",88.4,70,0.0037,2.1,96,-11.664353,166.946526,TRUE,1,7.056,118,10328480057
"3",88.4,60,0.0059,1.6,98,-11.664362,166.946493,TRUE,2,7.578,106,10328480057
"4",88.4,60,0.0085,1.8,98,-11.664373,166.946472,TRUE,3,8.1252,144,10328480057
"5",88.6,60,0.0114,1.7,98,-11.664384,166.94645,TRUE,4,8.694,133,10328480057
"6",88.6,63,0.0145,3.1,95,-11.664396,166.946429,TRUE,5,9.2088,145,10328480057
"7",88.6,63,0.0178,1.5,96,-11.664408,166.946397,TRUE,6,10.1736,33,10328480057
"8",88.8,63,0.0212,3,94,-11.66442,166.946365,TRUE,7,10.9872,54,10328480057
"9",88.8,60,0.0245,2.9,94,-11.664435,166.946343,TRUE,8,11.5704,105,10328480057
"10",89,60,0.0279,2.8,94,-11.664446,166.946311,TRUE,9,11.9376,180,10328480057
"11",89,60,0.0316,2.7,92,-11.664463,166.94629,TRUE,10,12.3408,162,10328480057
"12",89.2,55,0.0355,2.6,93,-11.664482,166.946257,TRUE,11,12.7368,151,10328480057
"13",89.2,55,0.0395,3.7,95,-11.664499,166.946214,TRUE,12,13.176,144,10328480057
"14",89.4,59,0.0435,2.4,95,-11.664518,166.946182,TRUE,13,13.6728,141,10328480057
"15",89.6,59,0.0477,3.6,98,-11.664537,166.946161,TRUE,14,14.1912,151,10328480057
"16",89.6,64,0.0518,2.4,99,-11.664556,166.946129,TRUE,15,14.5512,149,10328480057
"17",89.8,64,0.0561,2.3,99,-11.664576,166.946096,TRUE,16,14.8608,146,10328480057
"18",89.8,64,0.0604,3.5,101,-11.664597,166.946064,TRUE,17,15.084,147,10328480057
"19",90,68,0.0648,2.3,100,-11.66462,166.946032,TRUE,18,15.2928,144,10328480057
"20",90.2,68,0.0692,3.4,102,-11.664641,166.945989,TRUE,19,15.4872,145,10328480057
"21",90.2,71,0.0736,2.3,101,-11.664665,166.945957,TRUE,20,15.6672,146,10328480057
"22",90.4,71,0.0781,2.2,100,-11.66469,166.945925,TRUE,21,15.7896,145,10328480057
"23",90.4,71,0.0825,3.4,102,-11.664714,166.945893,TRUE,22,15.8904,146,10328480057
"24",90.6,72,0.087,2.2,102,-11.664737,166.945871,TRUE,23,15.9912,141,10328480057
"25",90.8,72,0.0914,3.4,103,-11.664759,166.945839,TRUE,24,16.0128,145,10328480057
"26",90.8,73,0.0959,3.4,102,-11.664782,166.945785,TRUE,25,16.0488,145,10328480057
"27",91,73,0.1004,2.2,102,-11.664806,166.945764,TRUE,26,16.092,146,10328480057
"28",91.2,73,0.1049,3.3,102,-11.66483,166.945732,TRUE,27,16.1136,144,10328480057
"29",91.2,73,0.1094,3.3,102,-11.664855,166.945699,TRUE,28,16.128,145,10328480057
"30",91.4,73,0.1139,2.2,102,-11.664879,166.945667,TRUE,29,16.2288,147,10328480057
"31",91.6,73,0.1184,3.3,103,-11.664902,166.945624,TRUE,30,16.236,146,10328480057
"32",91.6,73,0.1229,2.2,103,-11.664928,166.945592,TRUE,31,16.2288,145,10328480057
"33",91.8,73,0.1275,2.2,105,-11.664954,166.94556,TRUE,32,16.2936,146,10328480057
"34",91.8,74,0.132,3.3,106,-11.664979,166.945528,TRUE,33,16.3152,141,10328480057
"35",92,74,0.1366,2.2,105,-11.665006,166.945496,TRUE,34,16.3152,144,10328480057
"36",92.2,74,0.1411,3.3,106,-11.665032,166.945474,TRUE,35,16.3512,145,10328480057
"37",92.2,74,0.1457,3.3,105,-11.665058,166.945442,TRUE,36,16.3944,147,10328480057
"38",92.4,74,0.1503,2.2,105,-11.665085,166.94541,TRUE,37,16.3944,146,10328480057
"39",92.6,74,0.1549,3.3,106,-11.665112,166.945378,TRUE,38,16.4448,147,10328480057
"40",92.6,74,0.1595,3.2,107,-11.665139,166.945345,TRUE,39,16.5024,144,10328480057
"41",92.8,75,0.1642,2.2,107,-11.665167,166.945302,TRUE,40,16.5672,147,10328480057
"42",93,75,0.1688,3.2,108,-11.665198,166.945281,TRUE,41,16.6248,146,10328480057
"43",93,76,0.1735,3.2,108,-11.665227,166.94526,TRUE,42,16.6968,140,10328480057
"44",93.2,76,0.1781,2.2,108,-11.665256,166.945206,TRUE,43,16.7112,149,10328480057
"45",93.4,77,0.1827,3.2,110,-11.665284,166.945184,TRUE,44,16.704,148,10328480057
"46",93.4,77,0.1873,3.2,110,-11.665311,166.945152,TRUE,45,16.6896,147,10328480057
"47",93.6,77,0.192,2.2,112,-11.66534,166.94512,TRUE,46,16.6968,147,10328480057
"48",93.8,78,0.1966,3.2,112,-11.665368,166.945088,TRUE,47,16.6608,147,10328480057
"49",93.8,78,0.2013,3.2,113,-11.665398,166.945056,TRUE,48,16.6824,149,10328480057
"50",94,78,0.2059,2.2,115,-11.665427,166.945024,TRUE,49,16.6896,148,10328480057
"51",94.2,78,0.2106,3.3,115,-11.665457,166.944991,TRUE,50,16.7472,106,10328480057
"52",94.2,79,0.2151,2.2,115,-11.665486,166.94497,TRUE,51,16.6752,46,10328480057
